SampleID	OspCType	Score	Doubts	CacApe	IDFail	Notes	DigPlateID	OspCID	Site	Date (Year 2008)
N08-0423			0	0	0			54336578	Bent of the River	9/12/2011
N08-0425			0	0	0			54336579	Bent of the River	9/12/2011
N08-0427			0	0	0			54336580	Bent of the River	10/3/2011
N08-0428			0	0	0			54336581	Bent of the River	10/3/2011
N08-0430			0	0	0			54336582	Bent of the River	10/3/2011
N08-0431			0	0	0			54336583	Bent of the River	10/3/2011
N08-0432			0	0	0			54336584	Marvelwood	7/8/2011
N08-0433			0	0	0			54336585	Marvelwood	7/8/2011
N08-0434			0	0	0			54336586	Marvelwood	7/8/2011
N08-0435			0	0	0			54336587	Marvelwood	7/8/2011
N08-0436			0	0	0			54336588	Marvelwood	7/8/2011
N08-0437			0	0	0			54336589	Marvelwood	7/8/2011
N08-0438			0	0	0			54336590	Marvelwood	7/8/2011
N08-0440			0	0	0			54336591	Marvelwood	7/8/2011
N08-0442			0	0	0			54336592	Marvelwood	7/8/2011
N08-0443			0	0	0			54336593	Marvelwood	7/8/2011
N08-0444			0	0	0			54336594	Marvelwood	7/8/2011
N08-0445			0	0	0			54336595	Marvelwood	7/29/2011
N08-0446			0	0	0			54336596	Marvelwood	7/29/2011
N08-0447			0	0	0			54336597	Marvelwood	7/29/2011
N08-0448			0	0	0			54336598	Marvelwood	7/29/2011
N08-0449			0	0	0			54336599	Marvelwood	7/29/2011
N08-0450			0	0	0			54336600	Marvelwood	7/29/2011
N08-0451			0	0	0			54336601	Marvelwood	7/29/2011
N08-0453			0	0	0			54336602	Marvelwood	7/29/2011
N08-0455			0	0	0			54336603	Marvelwood	7/29/2011
N08-0457			0	0	0			54336604	Marvelwood	8/20/2011
N08-0459			0	0	0			54336605	Marvelwood	8/20/2011
N08-0460			0	0	0			54336606	Marvelwood	9/17/2011
N08-0461			0	0	0			54336607	Marvelwood	9/17/2011
N08-0462			0	0	0			54336608	Marvelwood	9/17/2011
N08-0463			0	0	0			54336609	Marvelwood	9/17/2011
